"node_id","longitude","latitude"
3296496713,103.6571222,1.6512859
3296496390,103.6550937,1.6504516
3296484502,103.6488875,1.5917151
3296484497,103.6476378,1.5916436
3296484481,103.6499975,1.5916102
3296484476,103.6503732,1.5901045
3296484473,103.649311,1.5899329
3296484471,103.649192,1.5927921
3296484470,103.6489194,1.5916392
3296484469,103.6517089,1.5894556
3296484465,103.6482596,1.5916435
3296484462,103.6482777,1.5917079
3296483560,103.6505288,1.592228
3289742915,103.7923008,1.4928637
3289742914,103.7923544,1.4928208
3289742913,103.7924134,1.4928101
3289738095,103.7923088,1.4929275
3289727962,103.7632388,1.4585161
3289725721,103.7632696,1.4585747
3289722770,103.7644744,1.4568123
3289721506,103.7638792,1.457075
3289720966,103.7656328,1.4572268
3289720965,103.7652096,1.4571348
3289720964,103.765334,1.4567994
3289077075,103.6134967,1.4302627
3289077073,103.6142244,1.4300232
3289077071,103.6148627,1.4288793
3289077065,103.6136848,1.4279362
3289077064,103.6139318,1.4281451
3289077063,103.6138524,1.4278671
3289075760,103.6135167,1.4280007
3289075758,103.6133691,1.4280941
3289075745,103.6128246,1.4290139
3289075744,103.6128532,1.4293219
3289075738,103.6131344,1.4300225
3289075737,103.6542649,1.4130554
3283884005,103.7260137,1.484917
3283485487,103.9364606,1.3521556
3283484386,103.9361053,1.3526818
3283484385,103.9369204,1.352351
3283483523,103.935695,1.3520973
3283483521,103.9366148,1.352475
3278975406,103.861186,1.2231403
3278975403,103.861347,1.2227005
3278975400,103.8603787,1.2227702
3278975392,103.8615481,1.222966
3278975383,103.8615052,1.2230572
3278975381,103.8591826,1.2238343
3278975376,103.8584904,1.2247975
3278975374,103.8590671,1.2241593
3278974356,103.8613577,1.2226978
3276995262,103.9068219,1.496163
3274061030,103.743986,1.3324212
3274061029,103.7435711,1.3327286
3272332191,103.8864091,1.3747193
3271096896,103.4695681,1.8211192
3271096877,103.4662131,1.8197872
3271096874,103.4759929,1.8196745
3271096869,103.4661137,1.8195618
3271096868,103.473785,1.8194293
3271096507,103.478592,1.814744
3271096499,103.4769533,1.8130116
3271096491,103.4821115,1.811568
3271096484,103.4805417,1.8098197
3271096481,103.4815442,1.8089245
3270576961,103.6501665,1.5454548
3264946610,103.5907945,1.3905455
3264940017,103.5874261,1.3971749
3264933200,103.8169582,1.2924416
3264933199,103.8168712,1.2914844
3264884823,103.6058657,1.4334488
3264884818,103.6052574,1.43245
3264884815,103.6054832,1.4325571
3264884814,103.6059603,1.4333438
3264709665,103.6152977,1.4494251
3264708118,103.6183078,1.4523041
3264705859,103.6115325,1.4513215
3264698063,103.6117166,1.4514853
